總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
181,11,怪怪的賀卡 ,"The One with Ross's Step Forward /
The One with The Creepy Holiday Card ",Gary Halvorson ,Robert Carlock ,2001年12月13日
182,12,喬伊和瑞秋約會 ,The One Where Joey Dates Rachel ,David Schwimmer ,Sherry Bilsing-Graham & Ellen Plummer ,2002年1月10日
183,13,錢德勒的泡泡浴 ,The One Where Chandler Takes a Bath ,Ben Weiss ,Vanessa McCarthy ,2002年1月17日
184,14,莫妮卡的神秘壁櫥 ,The One with the Secret Closet ,Kevin S. Bright ,Brian Buckner & Sebastian Jones ,2002年1月31日
185,15,生產錄影 ,The One with the Birthing Video ,Kevin S. Bright ,Dana Klein Borkow ,2002年2月7日
186,16,喬伊向瑞秋表白 ,The One Where Joey Tells Rachel ,Ben Weiss ,Andrew Reich & Ted Cohen ,2002年2月28日
187,17,茶葉占卜 ,The One with the Tea Leaves ,Gary Halvorson ,,2002年3月7日
188,18,"The One in Massapequa /
The One with the Zesty Guy ",馬沙皮卡市 ,Gary Halvorson ,,2002/3/28
189,19,喬伊的採訪 ,The One with Joey's Interview ,Gary Halvorson ,Doty Abrams ,2002年4月4日
190,20,嬰兒禮物 ,The One with the Baby Shower ,Kevin S. Bright ,Sherry Bilsing-Graham & Ellen Plummer ,2002年4月25日
191,21,烹飪課 ,The One with the Cooking Class ,Gary Halvorson ,,2002年5月2日
192,22,瑞秋遲遲不生 ,The One Where Rachel Is Late ,Gary Halvorson ,Shana Goldberg-Meehan ,2002年5月9日
193-194 ,23-24 ,瑞秋生小孩的那集 ,The One Where Rachel Has a Baby,Kevin S. Bright,The One Where Rachel Has a Baby ,2002年5月16日
195,1,無人求婚 ,The One Where No One Proposes ,Kevin S. Bright ,Sherry Bilsing-Graham & Ellen Plummer ,2002年9月26日
196,2,艾瑪大哭 ,The One Where 艾瑪 Cries ,Sheldon Epps ,Dana Klein Borkow ,2002年10月3日
197,3,兒科醫生 ,The One with the Pediatrician ,Roger Christiansen ,Brian Buckner & Sebastian Jones ,2002年10月10日
198,4,鯊魚的「愛情動作片」 ,The One with the Sharks ,Ben Weiss ,Andrew Reich & Ted Cohen ,2002年10月17日
199,5,菲比的生日晚宴 ,The One with Phoebe's Birthday Dinner ,大衛·史威默 ,Scott Silveri ,2002年10月31日
200,6,男保姆 ,The One with the Male Nanny ,Kevin S. Bright ,David Crane & Marta Kauffman ,2002年11月7日
201,7,大屁股之歌 ,The One with Ross's Inappropriate Song ,Gary Halvorson ,Robert Carlock ,2002年11月14日
202,8,瑞秋的另一個妹妹 ,The One with Rachel's Other Sister ,Kevin S. Bright ,Shana Goldberg-Meehan ,2002年11月21日
203,9,瑞秋的電話號碼 ,The One with Rachel's Phone Number ,Ben Weiss ,Mark Kunerth ,2002年12月5日
204,10,在土爾沙過聖誕 ,The One with Christmas in Tulsa ,Kevin S. Bright ,Doty Abrams ,2002年12月12日
205,11,瑞秋復工 ,The One Where Rachel Goes Back to Work ,Gary Halvorson ,,2003年1月9日
206,12,菲比的寵物老鼠 ,The One with Phoebe's Rats ,Ben Weiss ,,2003年1月16日
207,13,莫妮卡「獻」唱 ,The One Where Monica Sings ,Gary Halvorson ,,2003年1月30日
208,14,盲約 ,The One with the Blind Dates ,Gary Halvorson ,Sherry Bilsing-Graham & Ellen Plummer ,2003年2月6日
209,15,劫匪 ,The One with the Mugging ,Gary Halvorson ,Peter Tibbals ,2003年2月13日
210,16,隆胸記 ,The One with the Boob Job ,Gary Halvorson ,Mark Kunerth ,2003年2月20日
211,17,羅斯的追悼會 ,The One with the Memorial Service ,Gary Halvorson ,,2003年3月13日
212,18,買彩票記 ,The One with the Lottery ,Gary Halvorson ,,2003年4月3日
213,19,瑞秋的夢 ,The One with Rachel's Dream ,Terry Hughes ,,2003年4月17日
214,20,肥皂劇演員派對 ,The One with the Soap Opera Party ,Sheldon Epps ,,2003年4月24日
215,21,生育能力檢查 ,The One with the Fertility Test ,Gary Halvorson ,,2003年5月1日
216,22,捐精者 ,The One with the Donor ,Ben Weiss ,Andrew Reich & Ted Cohen ,2003年5月8日
217-218 ,23-24 ,巴貝多島之行 ,The One in Barbados ,Kevin S. Bright ,,2003年5月15日
219,1,喬伊和瑞秋接吻之後 ,The One After Joey and Rachel Kiss ,Kevin S. Bright ,Andrew Reich & Ted Cohen ,2003年9月25日
220,2,羅斯說「放下了」 ,The One Where Ross Is Fine ,Ben Weiss ,Sherry Bilsing-Graham & Ellen Plummer ,2003年10月2日
221,3,羅斯的日光浴 ,The One with Ross's Tan ,Gary Halvorson ,Brian Buckner ,2003年10月9日
222,4,艾瑪的生日蛋糕 ,The One with the Cake ,Gary Halvorson ,Robert Carlock ,2003年10月23日
223,5,瑞秋的妹妹帶孩子 ,The One Where Rachel's Sister Babysits ,Roger Christiansen ,Dana Klein Borkow ,2003年10月30日
224,6,羅斯的科研經費 ,The One with Ross's Grant ,Ben Weiss ,Sebastian Jones ,2003年11月6日
225,7,家訪 ,The One with the Home Study ,Kevin S. Bright ,Mark Kunerth ,2003年11月13日
226,8,遲到的感恩節 ,The One with the Late Thanksgiving ,Gary Halvorson ,Shana Goldberg-Meehan ,2003年11月20日
227,9,生母 ,The One with the Birth Mother ,大衛·史威默 ,Scott Silveri ,2004年1月8日
228,10,錢德勒「出軌」了 ,The One Where Chandler Gets Caught ,Gary Halvorson ,Doty Abrams ,2004年1月15日
229,11,懟哭脫衣舞男 ,The One Where the Stripper Cries ,待定 ,待定 ,2004年2月9日
230,12,菲比的婚禮 ,The One with Phoebe's Wedding ,待定 ,待定 ,2004年2月12日
231,13,喬伊大秀法語 ,The One Where Joey Speaks French ,待定 ,待定 ,2004年2月19日
232,14,菲比改名 ,The One with Princess Consuela ,待定 ,待定 ,2004年2月26日
233,15,經紀人的鬼來電 ,The One Where 艾斯黛拉 Dies ,待定 ,待定 ,2004年4月22日
234,16,瑞秋的送別會 ,The One with Rachel's Going Away Party ,Gary Halvorson ,Andrew Reich & Ted Cohen ,2004年4月29日
235-236 ,17-18 ,大結局 ,The Last One ,Kevin S. Bright ,Marta Kauffman & David Crane ,2004年5月6日
         ,,,,,,
